@relation 'C:\\work\\data\\arff\\postwriteup\\aan3withauth.txt'

@attribute @@class@@ {n,p,o}
@attribute @@id@@ string
@attribute @@sentence@@ string
@attribute @@author@@ string
@attribute @@dependencies@@ string

@data
o,811,'This iterative optimiser , derived from a word disambiguation technique <CIT> , finds the nearest local maximum in the lexical cooccurrence network from each concept seed ',Yarowsky,'det_optimiser_This amod_optimiser_iterative nsubj_finds_optimiser partmod_optimiser_derived prep_derived_from det_<CIT>_a nn_<CIT>_word nn_<CIT>_disambiguation nn_<CIT>_technique pobj_from_<CIT> det_maximum_the amod_maximum_nearest amod_maximum_local dobj_finds_maximum prep_maximum_in det_network_the amod_network_lexical nn_network_cooccurrence pobj_in_network prep_network_from det_seed_each nn_seed_concept pobj_from_seed '
p,812,'1 Introduction <CIT> introduced minimum error rate training -LRB- MERT -RRB- for optimizing feature weights in statistical machine translation -LRB- SMT -RRB- models , and demonstrated that it produced higher translation quality scores than maximizing the conditional likelihood of a maximum entropy model using the same features ',Och,'num_<CIT>_1 nn_<CIT>_Introduction nsubj_introduced_<CIT> amod_training_minimum nn_training_error nn_training_rate dobj_introduced_training abbrev_training_MERT prep_training_for pcomp_for_optimizing nn_weights_feature dobj_optimizing_weights prep_optimizing_in amod_models_statistical nn_models_machine nn_models_translation nn_models_SMT pobj_in_models cc_introduced_and conj_introduced_demonstrated complm_produced_that nsubj_produced_it ccomp_demonstrated_produced amod_scores_higher nn_scores_translation nn_scores_quality dobj_produced_scores prep_scores_than pcomp_than_maximizing det_likelihood_the amod_likelihood_conditional dobj_maximizing_likelihood prep_likelihood_of det_model_a amod_model_maximum nn_model_entropy pobj_of_model partmod_model_using det_features_the amod_features_same dobj_using_features '
n,813,'<OTH> applied the parser of <CIT> developed for English , to Czech , and found thatthe performance wassubstantially lower when compared to the results for English ',Collins,'nsubj_applied_<OTH> det_parser_the dobj_applied_parser prep_parser_of pobj_of_<CIT> partmod_<CIT>_developed prep_developed_for pobj_for_English prep_applied_to pobj_to_Czech cc_applied_and conj_applied_found amod_performance_thatthe nsubj_compared_performance advmod_lower_wassubstantially dep_compared_lower advmod_compared_when xcomp_found_compared prep_compared_to det_results_the pobj_to_results prep_results_for pobj_for_English '
o,814,'This model is related to the averaged perceptron algorithm of <CIT> ',Collins,'det_model_This nsubjpass_related_model auxpass_related_is prep_related_to det_algorithm_the amod_algorithm_averaged nn_algorithm_perceptron pobj_to_algorithm prep_algorithm_of '
o,815,'a22 a14 is the sufficient statistic of a16 a14 Then , we can rewrite a2a24a3 a10a27 a42a7 a25 as : a5a7a6a9a8a11a10 a23 a3 a10 a7 a15 a27 a25a18a17a26a25 a12a28a27 a5a7a6a29a8a30a10 a23 a3 a10 a7 a15 a27 a25a18a17 3 Loss Functions for Label Sequences Given the theoretical advantages of discriminative models over generative models and the empirical support by <CIT> , and that CRFs are the state-of-the-art among discriminative models for label sequences , we chose CRFs as our model , and trained by optimizing various objective functions a31 a3 a10a36 a25 with respect to the corpus a36 The application of these models to the label sequence problems vary widely ',Klein,'amod_a14_a22 nsubj_statistic_a14 cop_statistic_is det_statistic_the amod_statistic_sufficient prep_statistic_of amod_a14_a16 pobj_of_a14 advmod_statistic_Then nsubj_rewrite_we aux_rewrite_can ccomp_statistic_rewrite amod_a25_a2a24a3 amod_a25_a10a27 nn_a25_a42a7 dobj_rewrite_a25 prep_rewrite_as amod_Functions_a5a7a6a9a8a11a10 nn_Functions_a23 amod_Functions_a3 amod_Functions_a10 nn_Functions_a7 amod_Functions_a15 amod_Functions_a27 nn_Functions_a25a18a17a26a25 amod_Functions_a12a28a27 amod_Functions_a5a7a6a29a8a30a10 nn_Functions_a23 amod_Functions_a3 amod_Functions_a10 nn_Functions_a7 amod_Functions_a15 amod_Functions_a27 nn_Functions_a25a18a17 nn_Functions_3 nn_Functions_Loss dep_as_Functions dep_Functions_for nn_Sequences_Label pobj_for_Sequences partmod_Sequences_Given det_advantages_the amod_advantages_theoretical dobj_Given_advantages prep_advantages_of amod_models_discriminative pobj_of_models prep_Given_over amod_models_generative pobj_over_models cc_models_and det_support_the amod_support_empirical conj_models_support prep_Given_by pobj_by_<CIT> cc_statistic_and dep_state-of-the-art_that nsubj_state-of-the-art_CRFs cop_state-of-the-art_are det_state-of-the-art_the ccomp_chose_state-of-the-art prep_state-of-the-art_among amod_models_discriminative pobj_among_models prep_models_for nn_sequences_label pobj_for_sequences nsubj_chose_we conj_statistic_chose dobj_chose_CRFs prep_chose_as poss_model_our pobj_as_model cc_chose_and conj_chose_trained prep_trained_by pcomp_by_optimizing amod_functions_various nn_functions_objective nsubj_a25_functions amod_a25_a31 amod_a25_a3 amod_a25_a10a36 xcomp_optimizing_a25 prep_a25_with pobj_with_respect prep_optimizing_to det_a36_the nn_a36_corpus pobj_to_a36 det_application_The dobj_optimizing_application prep_application_of det_models_these pobj_of_models prep_models_to det_label_the pobj_to_label nn_problems_sequence nsubj_vary_problems rcmod_label_vary advmod_vary_widely '
o,816,'Pustejovsky confronted with the problem of automatic acquisition more extensively in <OTH> ',Dunning,'advmod_confronted_Pustejovsky prep_confronted_with det_problem_the pobj_with_problem prep_problem_of amod_acquisition_automatic pobj_of_acquisition advmod_extensively_more dep_confronted_extensively prep_extensively_in pobj_in_<OTH> '
o,817,'PropBank encodes propositional information by adding a layer of argument structure annotation to the syntactic structures of the Penn Treebank <CIT> ',Marcus,'nsubj_encodes_PropBank amod_information_propositional dobj_encodes_information prep_encodes_by pcomp_by_adding det_layer_a dobj_adding_layer prep_layer_of nn_annotation_argument nn_annotation_structure pobj_of_annotation prep_adding_to det_structures_the amod_structures_syntactic pobj_to_structures prep_structures_of det_Treebank_the nn_Treebank_Penn pobj_of_Treebank '
o,818,'However , while similarity measures -LRB- such as WordNet distance or Lins similarity metric -RRB- only detect cases of semantic similarity , association measures -LRB- such as the ones used by Poesio et al , or by Garera and Yarowsky -RRB- also find cases of associative bridg497 Lin98 RFF TheY TheY : G2 PL03 Land -LRB- country\\/state\\/land -RRB- Staat Staat Kemalismus Regierung Kontinent state state Kemalism government continent Stadt Stadt Bauernfamilie Prasident Region city city agricultural family president region Region Landesregierung Bankgesellschaft Dollar Stadt region country government banking corporation dollar city Bundesrepublik Bundesregierung Baht Albanien Staat federal republic federal government Baht Albania state Republik Gewerkschaft Gasag Hauptstadt Bundesland republic trade union -LRB- a gas company -RRB- capital state Medikament -LRB- medical drug -RRB- Arzneimittel Pille RU Patient Arzneimittel pharmaceutical pill -LRB- a drug -RRB- patient pharmaceutical Praparat Droge Abtreibungspille Arzt Lebensmittel preparation drug -LRB- non-medical -RRB- abortion pill doctor foodstuff Pille Praparat Viagra Pille Praparat pill preparation Viagra pill preparation Hormon Pestizid Pharmakonzern Behandlung Behandlung hormone pesticide pharmaceutical company treatment treatment Lebensmittel Lebensmittel Praparat Abtreibungspille Arznei foodstuff foodstuff preparation abortion pill drug highest ranked words , with very rare words removed : RU 486 , an abortifacient drug Lin98 : Lins distributional similarity measure <OTH> RFF : Geffet and Dagans Relative Feature Focus measure <OTH> TheY : association measure introduced by Garera and Yarowsky <OTH> TheY : G2 : similar method using a log-likelihood-based statistic <CIT> this statistic has a preference for higher-frequency terms PL03 : semantic space association measure proposed by Pado and Lapata <OTH> Table 1 : Similarity and association measures : most similar items ing like 1a , b ; the result of this can be seen in table -LRB- 2 -RRB- : while the similarity measures -LRB- Lin98 , RFF -RRB- list substitutable terms -LRB- which behave like synonyms in many contexts -RRB- , the association measures -LRB- Garera and Yarowskys TheY measure , Pado and Lapatas association measure -RRB- also find non-compatible associations such as countrycapital or drugtreatment , which is why they are commonly called relationfree ',Dunning,'advmod_find_However mark_detect_while nn_measures_similarity nsubj_detect_measures dep_as_such dep_measures_as amod_distance_WordNet pobj_as_distance cc_distance_or nn_metric_Lins nn_metric_similarity conj_distance_metric advmod_detect_only dep_find_detect dobj_detect_cases prep_cases_of amod_similarity_semantic pobj_of_similarity nn_measures_association nsubj_find_measures dep_as_such dep_measures_as det_ones_the pobj_as_ones partmod_ones_used prep_used_by pobj_by_Poesio cc_Poesio_et conj_Poesio_al cc_by_or conj_by_by pobj_by_Garera cc_Garera_and conj_Garera_Yarowsky advmod_find_also dobj_find_cases prep_cases_of amod_TheY_associative amod_TheY_bridg497 nn_TheY_Lin98 nn_TheY_RFF nn_TheY_TheY pobj_of_TheY dep_list_G2 nn_Land_PL03 dobj_G2_Land dep_Land_country\\/state\\/land nn_Staat_Staat nn_Staat_Staat nn_Staat_Kemalismus nn_Staat_Regierung nn_Staat_Kontinent nn_Staat_state nn_Staat_state nn_Staat_Kemalism nn_Staat_government nn_Staat_continent nn_Staat_Stadt nn_Staat_Stadt nn_Staat_Bauernfamilie nn_Staat_Prasident nn_Staat_Region nn_Staat_city nn_Staat_city nn_Staat_agricultural nn_Staat_family nn_Staat_president nn_Staat_region nn_Staat_Region nn_Staat_Landesregierung nn_Staat_Bankgesellschaft nn_Staat_Dollar nn_Staat_Stadt nn_Staat_region nn_Staat_country nn_Staat_government nn_Staat_banking nn_Staat_corporation nn_Staat_dollar nn_Staat_city nn_Staat_Bundesrepublik nn_Staat_Bundesregierung nn_Staat_Baht nn_Staat_Albanien nsubj_G2_Staat amod_republic_federal dep_Bundesland_republic amod_government_federal dep_republic_government nn_Gewerkschaft_Baht nn_Gewerkschaft_Albania nn_Gewerkschaft_state nn_Gewerkschaft_Republik dep_Bundesland_Gewerkschaft nn_Bundesland_Gasag nn_Bundesland_Hauptstadt dep_seen_Bundesland nn_union_republic nn_union_trade dep_Bundesland_union det_company_a nn_company_gas appos_union_company nn_state_capital dep_union_state nn_patient_Medikament amod_drug_medical appos_patient_drug nn_patient_Arzneimittel nn_patient_Pille nn_patient_RU nn_patient_Patient nn_patient_Arzneimittel amod_patient_pharmaceutical nn_patient_pill det_drug_a appos_patient_drug nsubjpass_seen_patient amod_drug_pharmaceutical nn_drug_Praparat nn_drug_Droge nn_drug_Abtreibungspille nn_drug_Arzt nn_drug_Lebensmittel nn_drug_preparation dep_foodstuff_drug dep_drug_non-medical nn_Arznei_abortion nn_Arznei_pill nn_Arznei_doctor nn_Arznei_foodstuff nn_Arznei_Pille nn_Arznei_Praparat nn_Arznei_Viagra nn_Arznei_Pille nn_Arznei_Praparat nn_Arznei_pill nn_Arznei_preparation nn_Arznei_Viagra nn_Arznei_pill nn_Arznei_preparation nn_Arznei_Hormon nn_Arznei_Pestizid nn_Arznei_Pharmakonzern nn_Arznei_Behandlung nn_Arznei_Behandlung nn_Arznei_hormone nn_Arznei_pesticide amod_Arznei_pharmaceutical nn_Arznei_company nn_Arznei_treatment nn_Arznei_treatment nn_Arznei_Lebensmittel nn_Arznei_Lebensmittel nn_Arznei_Praparat nn_Arznei_Abtreibungspille dep_foodstuff_Arznei rcmod_patient_foodstuff nn_drug_foodstuff nn_drug_preparation nn_drug_abortion nn_drug_pill iobj_foodstuff_drug dobj_foodstuff_highest partmod_highest_ranked dobj_ranked_words prep_ranked_with advmod_rare_very amod_words_rare pobj_with_words partmod_words_removed dep_highest_RU num_RU_486 det_Lin98_an amod_Lin98_abortifacient nn_Lin98_drug conj_RU_Lin98 nn_RFF_Lins amod_RFF_distributional nn_RFF_similarity nn_RFF_measure nn_RFF_<OTH> dep_RU_RFF dep_RU_Geffet cc_RU_and nn_TheY_Dagans nn_TheY_Relative nn_TheY_Feature nn_TheY_Focus nn_TheY_measure nn_TheY_<OTH> conj_RU_TheY nn_measure_association dep_highest_measure partmod_measure_introduced prep_introduced_by pobj_by_Garera cc_Garera_and nn_TheY_Yarowsky nn_TheY_<OTH> conj_Garera_TheY dep_highest_G2 amod_method_similar dep_G2_method partmod_method_using det_<CIT>_a amod_<CIT>_log-likelihood-based nn_<CIT>_statistic dobj_using_<CIT> det_statistic_this nsubj_has_statistic rcmod_<CIT>_has det_preference_a dobj_has_preference prep_preference_for amod_PL03_higher-frequency nn_PL03_terms pobj_for_PL03 amod_measure_semantic nn_measure_space nn_measure_association dep_highest_measure partmod_measure_proposed prep_proposed_by pobj_by_Pado cc_highest_and nn_Table_Lapata nn_Table_<OTH> conj_highest_Table dep_Table_1 dep_Table_Similarity cc_Similarity_and nn_measures_association conj_Similarity_measures advmod_similar_most amod_items_similar nn_ing_items dep_Table_ing prep_ing_like pobj_like_1a appos_1a_b det_result_the dep_Table_result prep_result_of pobj_of_this aux_seen_can auxpass_seen_be dep_G2_seen prep_seen_in pobj_in_table appos_table_2 mark_list_while det_measures_the nn_measures_similarity nsubj_list_measures appos_measures_Lin98 dep_Lin98_RFF parataxis_find_list amod_terms_substitutable dobj_list_terms nsubj_behave_which parataxis_list_behave prep_behave_like pobj_like_synonyms prep_synonyms_in amod_contexts_many pobj_in_contexts det_measures_the nn_measures_association nsubj_find_measures nn_measure_Garera cc_Garera_and conj_Garera_Yarowskys nn_measure_TheY dep_find_measure conj_measure_Pado cc_measure_and nn_measure_Lapatas nn_measure_association conj_measure_measure advmod_find_also dep_list_find amod_associations_non-compatible dobj_find_associations dep_as_such prep_associations_as pobj_as_countrycapital cc_countrycapital_or conj_countrycapital_drugtreatment nsubj_is_which rcmod_countrycapital_is advmod_called_why nsubjpass_called_they auxpass_called_are advmod_called_commonly advcl_is_called dep_called_relationfree '
o,819,'Jiao et al propose semi-supervised conditional random fields <CIT> that try to maximize the conditional log-likelihood on the training data and simultaneously minimize the conditional entropy of the class labels on the unlabeled data ',Jiao,'nsubj_propose_Jiao cc_Jiao_et conj_Jiao_al amod_fields_semi-supervised amod_fields_conditional amod_fields_random nsubj_<CIT>_fields ccomp_propose_<CIT> complm_try_that ccomp_<CIT>_try aux_maximize_to xcomp_try_maximize det_log-likelihood_the amod_log-likelihood_conditional dobj_maximize_log-likelihood prep_maximize_on det_data_the nn_data_training pobj_on_data cc_maximize_and advmod_maximize_simultaneously conj_maximize_minimize det_entropy_the amod_entropy_conditional dobj_minimize_entropy prep_entropy_of det_labels_the nn_labels_class pobj_of_labels prep_minimize_on det_data_the amod_data_unlabeled pobj_on_data '
o,820,'<CIT> report extracting database records by learning record field compatibility ',Wick,'nsubj_report_<CIT> xcomp_report_extracting nn_records_database dobj_extracting_records prep_extracting_by pcomp_by_learning amod_compatibility_record nn_compatibility_field dobj_learning_compatibility '
